Title,Duration,Budget,Reviews_by_Users,IMDB_Score,Gross_Earnings
The Perfect Storm,130,140000000,779,6.4,182618434
The Replacements,118,50000000,261,6.5,44737059
The Road to El Dorado,89,95000000,139,6.9,50802661
The Skulls,106,15000000,193,5.6,35007180
The Specials,82,1000000,54,6,12996
The Tigger Movie,77,30000000,53,6.3,45542421
The Watcher,97,33000000,181,5.3,28927720
The Way of the Gun,119,8500000,327,6.7,6047856
The Whole Nine Yards,98,24000000,318,6.7,57262492
The Widow of Saint-Pierre,112,100000000,69,7.3,3058380
The Yards,115,24000000,138,6.4,882710
Thirteen Days,145,80000000,315,7.3,34566746
Thomas and the Magic Railroad,85,19000000,119,3.6,15911333
Titan A.E.,94,75000000,377,6.6,22751979
Traffic,190,48000000,867,7.6,124107476
U-571,116,62000000,602,6.6,77086030
Unbreakable,106,75000000,1344,7.2,94999143
Urban Legends: Final Cut,97,14000000,227,4.1,21468807
Urbania,106,225000,73,7,1027119
Vertical Limit,124,75000000,379,5.9,68473360
What Lies Beneath,130,100000000,683,6.6,155370362
What Planet Are You From?,87,50000000,91,5.6,6291602
What Women Want,127,70000000,395,6.4,182805123
Whatever It Takes,94,15000000,89,5.5,8735529
Where the Heart Is,120,15000000,240,6.8,33771174
Whipped,82,3000000,81,4.4,4142507
Woman on Top,92,8000000,86,5.3,5018450
Wonder Boys,107,55000000,335,7.4,19389454
X-Men,104,75000000,1401,7.4,157299717
You Can Count on Me,111,1200000,231,7.7,9180275
15 Minutes,120,42000000,265,6.1,24375436
3000 Miles to Graceland,125,42000000,399,5.9,15738632
A Beautiful Mind,135,58000000,1171,8.2,170708996
A Knight's Tale,144,65000000,658,6.9,56083966
A.I. Artificial Intelligence,146,100000000,2153,7.1,78616689
Ali,165,107000000,386,6.8,58183966
Alias Betty,103,50000000,26,6.9,206400
All the Queen's Men,105,25000000,40,4.5,22723
Along Came a Spider,104,60000000,317,6.3,74058698
Amélie,122,77000000,1314,8.4,33201661
American Desi,100,250000,40,6.7,902835
American Outlaws,94,35000000,162,6,13264986
American Pie 2,108,30000000,431,6.4,145096820
America's Sweethearts,102,48000000,343,5.7,93607673
Angel Eyes,102,38000000,180,5.6,24044532
Antitrust,109,30000000,221,6.1,10965209
Atlantis: The Lost Empire,95,120000000,289,6.8,84037039
Ayurveda: Art of Being,102,300000,12,7.6,16892
Baby Boy,130,16000000,81,6.4,28734552
Bandits,123,80000000,261,6.6,41523271
Behind Enemy Lines,106,40000000,411,6.4,59068786
Birthday Girl,93,13000000,159,6.1,4919896
Black Hawk Down,152,92000000,1103,7.7,108638745
Black Knight,95,50000000,164,4.8,33422806
Blow,124,30000000,426,7.6,52937130
Bridget Jones's Diary,97,26000000,571,6.7,71500556
Brigham City,119,1000000,63,7.2,798341
Bubble Boy,84,13000000,181,5.6,5002310
Buffalo Soldiers,98,15000000,111,6.9,353743
Bully,115,2100000,336,7,510092
Captain Corelli's Mandolin,131,57000000,220,5.9,25528495
Cats & Dogs,87,60000000,235,5.2,93375151
Corky Romano,86,11000000,100,4.6,23978402
Crazy/Beautiful,135,14000000,169,6.5,16929123
Crocodile Dundee in Los Angeles,92,21150000,119,4.8,25590119
Dogtown and Z-Boys,91,400000,88,7.7,1293295
Domestic Disturbance,89,53000000,190,5.5,45207112
Donnie Darko,133,4500000,2110,8.1,727883
Don't Say a Word,113,50000000,248,6.3,54997476
Double Take,88,24000000,50,5.3,20218
Down and Out with the Dolls,88,1200000,4,6.1,58936
Down to Earth,87,30000000,122,5.4,64172251
Dr. Dolittle 2,87,72000000,79,4.6,112950721
Driven,116,72000000,346,4.5,32616869
Enemy at the Gates,131,68000000,662,7.6,51396781
Exit Wounds,101,33000000,232,5.5,51758599
Final Fantasy: The Spirits Within,106,137000000,788,6.4,32131830
Formula 51,93,28000000,167,6.3,5204007
Frailty,100,11000000,463,7.3,13103828
Freddy Got Fingered,87,15000000,619,4.5,14249005
From Hell,122,35000000,541,6.8,31598308
Get Over It,87,22000000,180,5.8,11560259
Ghost World,111,7000000,488,7.4,6200756
Ghosts of Mars,98,28000000,460,4.9,8434601
Glitter,104,22000000,308,2.1,4273372
Gosford Park,131,19800000,651,7.3,41300105
Hardball,106,21000000,131,6.3,40219708
Harry Potter and the Sorcerer's Stone,159,125000000,1571,7.5,317557891
Harvard Man,99,5500000,69,4.9,56007
Head Over Heels,86,14000000,104,5.4,10397365
Heartbreakers,123,35000000,216,6.2,40334024
Hearts in Atlantis,101,31000000,268,6.9,24185781
Hedwig and the Angry Inch,95,6000000,231,7.8,3029081
High Heels and Low Lifes,86,10000000,44,6.2,226792
How High,93,12000000,102,6.2,31155435
I Am Sam,132,22000000,431,7.6,40270895
Impostor,102,40000000,207,6.2,6114237
In the Bedroom,138,1700000,510,7.5,35918429
Iris,91,5500000,144,7.1,1292119
Jason X,85,11000000,673,4.4,12610731
Jay and Silent Bob Strike Back,104,22000000,867,6.9,30059386
Jeepers Creepers,90,10000000,985,6.1,37470017
Jimmy Neutron: Boy Genius,82,30000000,118,6,80920948
Joe Dirt,91,17700000,205,5.9,27087695
Joe Somebody,98,38000000,85,5.5,22770864
Josie and the Pussycats,98,22000000,242,5.3,14252830
Joy Ride,97,23000000,339,6.6,21973182
Jurassic Park III,92,93000000,1236,5.9,181166115
Just Visiting,84,40000000,98,5.8,4777007
Kate & Leopold,123,48000000,316,6.4,47095453
Kiss of the Dragon,98,25000000,254,6.6,36833473
Kissing Jessica Stein,97,1000000,190,6.7,7022940
Knockaround Guys,92,15000000,135,6.1,11632420
K-PAX,120,48000000,537,7.4,50173190
L.I.E.,97,700000,109,7.2,1141829
Lara Croft: Tomb Raider,100,115000000,824,5.7,131144183
Last Orders,109,12000000,99,7,2326407
Legally Blonde,96,18000000,548,6.2,95001351
Life as a House,125,18000000,359,7.5,15561627
Lovely & Amazing,91,250000,85,6.9,4186931
Lucky Break,107,6000000,34,6.2,54606
Made,95,5000000,165,6.4,5308707
Madison,94,15500000,26,6.5,508867
Max Keeble's Big Move,91,12000000,69,5.3,17292381
Mean Machine,99,2500000,84,6.5,92191
Megiddo: The Omega Code 2,104,22000000,111,4.1,5974653
Monkeybone,93,75000000,171,4.7,5409517
Monster's Ball,112,4000000,522,7.1,31252964
"Monsters, Inc.",92,115000000,593,8.1,289907418
Moulin Rouge!,127,52500000,2319,7.6,57386369
Mulholland Drive,147,15000000,1768,8,7219578
